"12|1 0 2 2 1 1|2 6 1 1 3 2|3 5 1 1 3 3|4 3 1 1 2 4|5 4 1 1 3 5",
// "ArBdBdCdCdDuArEdEdArAr"

"13|1 0 2 2 1 1|2 6 0 1 3 2|3 5 3 2 1 3|4 3 1 1 2 4|5 4 1 1 3 5",
// "ArDuArEdEdArArEdClBdBdBd"

"12|1 0 2 2 1 1|2 4 2 1 2 2|3 4 4 3 1 3|4 4 0 3 1 4|5 3 1 1 3 5",
// "ArBuDlDlDlBuEdEdArArAr"

"20|1 2 2 2 1 1|2 5 0 1 3 2|3 5 4 2 1 3|4 3 4 1 3 4|5 5 3 2 1 5",
// "AlClDuDuDuClClClDdDdArArDdElElBdBdBdAr"

"18|1 0 2 2 1 1|2 4 1 1 3 2|3 6 1 1 3 3|4 3 4 1 3 4|5 5 4 2 1 5",
// "ArDuDuDuElCdCdElElBdBdElDdDdArArAr"

"16|1 1 2 2 1 1|2 5 0 1 3 2|3 6 0 1 3 3|4 4 5 2 1 4|5 3 0 1 3 5",
// "BdBdCdCdCdDlBdDlDlEdEdEdArArAr"

"22|1 1 2 2 1 1|2 4 0 1 3 2|3 6 0 1 3 3|4 2 4 1 3 4|5 5 4 2 1 5",
// "AlBdCdDuDuDuElCdCdElElBdBdElElDdDdArArArAr"

"9|1 1 2 2 1 1|2 5 1 1 2 2|3 4 0 2 1 3|4 6 1 1 2 4|5 4 1 1 2 5",
// "ArBdBdDuEdEdArAr"

"16|1 1 2 2 1 1|2 3 4 2 1 2|3 4 0 1 3 3|4 4 3 3 1 4|5 3 0 1 3 5",
// "BrBrDlDlDlCdCdCdDlEdEdEdArArAr"

"10|1 0 2 2 1 1|2 3 1 1 2 2|3 6 1 1 3 3|4 2 0 2 1 4|5 4 2 1 2 5",
// "ArBdBdArCdCdEdArAr"

"18|1 1 2 2 1 1|2 4 1 1 3 2|3 6 1 1 3 3|4 4 4 2 1 4|5 2 3 1 3 5",
// "AlCdCdDlEuEuDlBdBdDlDlEdEdArArArAr"

"18|1 0 2 2 1 1|2 2 0 1 3 2|3 5 0 1 3 3|4 1 4 3 1 4|5 4 5 3 1 5",
// "BdCdDrDrBdBdArArArBuBuDlCdElElCdAr"

"10|1 0 2 2 1 1|2 4 2 1 2 2|3 6 1 1 2 3|4 4 4 1 3 4|5 2 1 1 3 5",
// "BuBuCuEdEdArArArAr"

"17|1 1 2 2 1 1|2 4 0 1 3 2|3 4 5 3 1 3|4 3 3 3 1 4|5 2 3 1 2 5",
// "AlClClClEuEuDlDlBdBdBdEuArArArAr"

"15|1 0 2 2 1 1|2 2 0 1 3 2|3 4 1 1 3 3|4 1 3 3 1 4|5 3 4 2 1 5",
// "ErErCdCdCdDrDrBdBdBdArArArAr"

"19|1 1 2 2 1 1|2 5 0 1 3 2|3 4 3 3 1 3|4 5 4 2 1 4|5 3 4 1 3 5",
// "DlEuEuEuDlDlDlEdEdArArEdClClBdBdBdAr"

"14|1 0 2 2 1 1|2 5 1 1 3 2|3 6 0 1 3 3|4 5 5 2 1 4|5 2 1 1 3 5",
// "BdCdCdDlCdDlBdEdEdArArArAr"

