"13|1 0 2 2 1 1|2 3 2 1 2 2|3 4 4 2 1 3|4 5 2 1 2 4|5 5 0 2 1 5|6 4 0 1 3 6",
// "ArBuBuArClClDdFdFdFdArAr"

"19|1 1 2 2 1 1|2 4 0 1 3 2|3 3 5 3 1 3|4 2 5 1 2 4|5 6 0 1 3 5|6 2 3 1 2 6",
// "AlBdBdEdEdEdFuDuFuDuClClBdFuArArArAr"

"16|1 0 2 2 1 1|2 5 5 2 1 2|3 5 2 1 3 3|4 2 5 2 1 4|5 4 4 1 3 5|6 0 5 1 2 6",
// "ArArDlEuEuBlBlCdFuFuDlBlEdArAr"

"26|1 0 2 2 1 1|2 5 4 2 1 2|3 5 3 2 1 3|4 5 0 1 3 4|5 3 4 1 3 5|6 4 4 1 3 6",
// "ArClClClClDdEuEuEuFuFuFuBlBlBlBlDdDdEdEdArFdFdArAr"

"13|1 0 2 2 1 1|2 4 1 1 3 2|3 6 2 1 2 3|4 5 0 1 3 4|5 2 1 1 2 5|6 3 5 2 1 6",
// "BdCdDdDdDdEuArArFlBdArAr"

"12|1 1 2 2 1 1|2 6 2 1 2 2|3 4 2 1 2 3|4 3 2 1 2 4|5 4 4 2 1 5|6 5 1 1 3 6",
// "BdCuCuDuDuArArElFdFdAr"

"12|1 1 2 2 1 1|2 5 2 1 2 2|3 6 0 1 3 3|4 5 4 1 3 4|5 3 1 1 3 5|6 2 5 2 1 6",
// "BuBuCdCdCdEdFlEdArArAr"

"27|1 0 2 2 1 1|2 5 1 1 3 2|3 2 0 1 3 3|4 0 3 3 1 4|5 0 5 3 1 5|6 3 4 1 2 6",
// "BuFuErErErFuFuDrDrDrCdCdCdArFuArArCuCuCuDlBdBdElBdAr"

"10|1 0 2 2 1 1|2 6 4 1 2 2|3 4 1 1 2 3|4 2 0 3 1 4|5 6 2 1 2 5|6 3 2 1 2 6",
// "ArBdCdCdEdFdArArAr"

"21|1 1 2 2 1 1|2 4 0 1 3 2|3 4 3 3 1 3|4 4 4 3 1 4|5 3 4 1 3 5|6 5 1 1 2 6",
// "ClClClBdClEuEuEuDlDlDlBdBdDlEdEdArArFuAr"

"18|1 0 2 2 1 1|2 3 1 1 3 2|3 3 5 2 1 3|4 2 0 1 3 4|5 6 0 1 3 5|6 3 4 3 1 6",
// "CrDdDdDdArEdFrBdBdArArArBuBuFlEdEd"

"15|1 0 2 2 1 1|2 5 1 1 3 2|3 3 4 1 2 3|4 4 4 3 1 4|5 2 2 1 3 5|6 3 2 1 2 6",
// "CdDlEdArFuFuArArEuEuDlBdBdAr"

"23|1 0 2 2 1 1|2 5 0 1 3 2|3 4 4 2 1 3|4 4 0 1 3 4|5 3 4 1 3 5|6 5 3 2 1 6",
// "ArDdEuEuEuClClClDdDdDdEdEdArArEdFlFlBdBdBdAr"

"23|1 1 2 2 1 1|2 5 0 1 3 2|3 5 3 2 1 3|4 5 5 2 1 4|5 4 4 1 3 5|6 2 4 1 3 6",
// "AlEuEuDlDlFuFuDlDlDlEdEdClClBdBdBdFdArArArAr"

"22|1 0 2 2 1 1|2 4 0 1 3 2|3 5 0 1 3 3|4 4 4 3 1 4|5 4 3 3 1 5|6 3 2 1 3 6",
// "ArFuDlDlDlDlFdFdArFdElElCdCdCdElBdBdBdArAr"

"19|1 0 2 2 1 1|2 5 4 2 1 2|3 5 2 1 2 3|4 4 2 1 3 4|5 3 0 1 3 5|6 6 0 1 3 6",
// "ArDuBlBlBlBlCdDdDdEdEdEdArArArFdFdFd"

"23|1 0 2 2 1 1|2 5 0 1 3 2|3 4 3 3 1 3|4 3 1 1 3 4|5 2 3 1 3 5|6 5 4 2 1 6",
// "EuEuFlFlFlFlDdDdDdClFlEdEdArArArEdClBdBdBdAr"

"15|1 0 2 2 1 1|2 3 0 1 3 2|3 1 5 2 1 3|4 2 2 1 3 4|5 3 3 2 1 5|6 4 0 1 3 6",
// "ClDdArErBdBdBdArErFdFdFdArAr"

"21|1 0 2 2 1 1|2 5 0 1 3 2|3 3 0 1 3 3|4 2 3 1 2 4|5 4 4 3 1 5|6 3 5 3 1 6",
// "BdCdDuDuDuArElElBdElElCdFlBdFlFlCdArArAr"

"17|1 0 2 2 1 1|2 5 1 1 3 2|3 4 5 3 1 3|4 2 5 1 2 4|5 5 4 2 1 5|6 3 4 1 2 6",
// "ArDuDuElFuClClFuElBdBdFuFuArArAr"

"23|1 1 2 2 1 1|2 3 3 3 1 2|3 4 0 1 3 3|4 3 0 1 3 4|5 3 5 3 1 5|6 2 5 1 2 6",
// "AlFuFuElElElFuFuBlBlBlCdCdCdDdDdDdFuArArArAr"

"14|1 1 2 2 1 1|2 2 5 3 1 2|3 5 4 2 1 3|4 3 0 1 3 4|5 3 4 2 1 5|6 6 1 1 3 6",
// "BlBlDdElClElDdDdArArArFdFd"

"14|1 1 2 2 1 1|2 6 0 1 3 2|3 3 2 1 2 3|4 4 1 1 2 4|5 5 4 2 1 5|6 5 1 1 3 6",
// "BdCuCuArDuArElBdBdElFdFdAr"

"14|1 2 2 2 1 1|2 6 2 1 3 2|3 3 5 3 1 3|4 4 1 1 3 4|5 4 4 2 1 5|6 2 5 1 2 6",
// "BdElElDdElElFuFuClClDdArAr"

"17|1 2 2 2 1 1|2 5 0 1 3 2|3 4 5 3 1 3|4 5 4 2 1 4|5 3 5 1 2 5|6 2 4 2 1 6",
// "ArBdDlFlEuEuClClClClEdEdDlBdBdAr"

"19|1 0 2 2 1 1|2 3 1 1 3 2|3 3 4 2 1 3|4 5 1 1 3 4|5 2 2 1 3 5|6 4 5 2 1 6",
// "DdEuClClBdClEdFlDdFlFlBdFlEdArArArAr"

"14|1 1 2 2 1 1|2 3 2 1 3 2|3 0 3 1 3 3|4 4 0 1 3 4|5 4 4 2 1 5|6 4 5 3 1 6",
// "CuDdErDdFlFlFlDdFlBdArArAr"

