"54|1 2 2 2 1 1|2 4 0 1 3 2|3 4 5 3 1 3|4 3 3 1 3 4|5 4 4 3 1 5|6 1 4 1 2 6|7 2 4 1 2 7|8 1 1 2 1 8",
// "AlAlBdDuClDuElFdGuClGuElElBdElDdHrHrGuGuArHrDuErHrBuErErErDdFuFuClClDdArFuFuFuAlDuDuElElElBdBdElDdDdArArAr"

"24|1 1 2 2 1 1|2 5 0 1 3 2|3 3 4 1 2 3|4 4 4 3 1 4|5 5 5 2 1 5|6 3 2 1 2 6|7 1 3 1 3 7|8 4 0 1 3 8",
// "BdCdDlDlBdElFuFuArGuGuDlDlCuCuElBdElHdHdHdArAr"

"39|1 0 2 2 1 1|2 2 4 2 1 2|3 5 0 1 3 3|4 3 0 1 3 4|5 5 5 2 1 5|6 2 5 1 2 6|7 4 3 3 1 7|8 1 5 1 2 8",
// "ArBrBrDdDdDdArElFuFuHuHuHuHuHuAlDuDuBlElElElElFdFdBlBlDdDdArArDdGlGlCdCdCdAr"

"28|1 1 2 2 1 1|2 2 3 1 2 2|3 4 0 1 3 3|4 2 5 1 2 4|5 5 5 2 1 5|6 5 4 2 1 6|7 6 0 1 3 7|8 3 3 2 1 8",
// "AlBuBuBuArArDuDuElElElElElDdDdFlFlFlGdGdGdHlCdCdCdArAr"

"46|1 0 2 2 1 1|2 5 5 2 1 2|3 6 0 1 3 3|4 3 0 1 3 4|5 4 0 1 3 5|6 1 5 1 2 6|7 0 4 2 1 7|8 2 1 1 3 8",
// "BlBlBlCdCdCdDdEdGrGrFuFuBlBlGrGrDdDdHdHdArArFuFuFuAlAlDuDuGlHuHuGlEdEdGlDdDdGlHdHdArArArAr"

"31|1 2 2 2 1 1|2 5 4 2 1 2|3 5 0 1 3 3|4 3 3 1 3 4|5 1 1 1 2 5|6 5 3 2 1 6|7 3 1 2 1 7|8 2 0 1 2 8",
// "BlEdEdAlAlDuEdEdFlHdHdGlGlDuBlBlBlBlDdDdDdFlCdCdCdHdArArArAr"

"29|1 0 2 2 1 1|2 4 1 1 3 2|3 1 3 3 1 3|4 4 5 2 1 4|5 5 2 1 3 5|6 2 4 1 2 6|7 4 0 2 1 7|8 3 5 1 2 8",
// "ArClGrBuHuHuDlEdEdHuHuCrCrCrFuDlDlDlFdClClBdBdBdHuArArAr"
